learner_id,session_id,prompt,verified,revised,adopted,reflected,latency_s
L009,L009-S02,Give me an outline,0,0,0,0,56.42024181546712
L009,L009-S03,Help me reflect on my reasoning,1,0,1,0,18.22526564953513
L009,L009-S03,Help me reflect on my reasoning,1,0,0,1,82.5151227913559
L009,L009-S03,Help me reflect on my reasoning,0,1,1,0,54.50118503835272
L009,L009-S03,Explain why this step works,1,0,0,1,28.680901250554165
L009,L009-S03,Give me an outline,1,1,0,0,35.13476714348967
L010,L010-S00,What source supports this?,1,1,0,0,61.41159848028553
L010,L010-S00,Help me reflect on my reasoning,1,0,0,0,10.504417141512763
L010,L010-S00,Check whether my answer is correct,1,1,0,0,20.133996983741298
L010,L010-S00,Write a possible answer,1,1,0,0,21.385190492233786
L010,L010-S00,Explain why this step works,1,0,0,0,12.80459021960412
L010,L010-S01,Help me reflect on my reasoning,1,1,1,1,18.901316105951672
L010,L010-S01,Give me an outline,1,1,0,0,88.16339937642184
L010,L010-S01,Help me reflect on my reasoning,1,0,1,0,14.640611789841486
L010,L010-S01,Explain why this step works,0,1,1,1,72.96078697592452
L010,L010-S01,Explain why this step works,0,1,1,0,36.57255116190591
L010,L010-S01,Give me an outline,0,0,0,1,11.45006364899558
L010,L010-S02,Check whether my answer is correct,1,0,0,0,54.087309133041515
L010,L010-S02,What source supports this?,1,1,0,1,24.604327770761138
L010,L010-S02,Help me reflect on my reasoning,1,1,1,0,36.15162258127179
L010,L010-S02,Write a possible answer,1,1,0,0,59.19354712835743
L010,L010-S02,Check whether my answer is correct,1,1,1,1,89.26617216966568
L010,L010-S03,Write a possible answer,1,1,0,1,46.47235355552131
L010,L010-S03,Help me reflect on my reasoning,1,1,0,0,5.072425439380391
L010,L010-S03,Explain why this step works,1,1,1,0,13.902123624229821
L011,L011-S00,Help me reflect on my reasoning,1,1,0,0,150.33938692854258
L011,L011-S00,What source supports this?,1,0,0,0,15.871131482306188
L011,L011-S00,Explain why this step works,0,0,1,0,28.974344120704785
L011,L011-S00,Help me reflect on my reasoning,1,0,1,0,27.852014970208025
L011,L011-S01,What source supports this?,1,1,1,0,56.15056226975488
L011,L011-S01,Give me an outline,0,1,1,0,20.338486690752887
L011,L011-S01,What source supports this?,0,1,0,0,55.40411493566232
L011,L011-S01,Give me an outline,0,1,0,0,55.9453329161119
L011,L011-S01,Write a possible answer,0,0,1,0,11.71914417252165
L011,L011-S02,Write a possible answer,1,1,1,0,89.79299228504098
L011,L011-S02,Write a possible answer,0,0,0,1,1.4680218602525126
L011,L011-S02,Check whether my answer is correct,1,1,1,0,84.76163017466033
L011,L011-S02,Write a possible answer,1,0,0,0,75.2621419451168
L011,L011-S02,Explain why this step works,0,0,1,1,33.78214603261393
L011,L011-S03,Write a possible answer,0,1,1,0,34.208173211456064
L011,L011-S03,Check whether my answer is correct,0,1,0,0,74.77750749657258
L011,L011-S03,Check whether my answer is correct,0,0,0,0,45.00394655039779
L011,L011-S03,Write a possible answer,1,1,1,0,26.938416750815783
L011,L011-S03,Check whether my answer is correct,0,1,0,0,52.26172910997653
L011,L011-S03,Write a possible answer,1,0,1,0,68.69415805409814
L011,L011-S03,What source supports this?,0,1,0,0,14.034114795416167
L012,L012-S00,Help me reflect on my reasoning,0,1,1,0,42.3880699115713
L012,L012-S00,Help me reflect on my reasoning,1,0,1,1,60.30939820653186
L012,L012-S00,Give me an outline,1,1,0,0,16.93655355659814
L012,L012-S00,Help me reflect on my reasoning,1,1,0,0,29.689722806879587
L012,L012-S00,Explain why this step works,1,0,0,0,50.801612852639664
L012,L012-S01,Explain why this step works,1,1,0,1,24.949932535833607
L012,L012-S01,Explain why this step works,0,1,0,1,15.510407948762827
L012,L012-S01,Check whether my answer is correct,1,0,0,1,71.80536451450232
L012,L012-S02,Give me an outline,0,0,1,0,6.472665474170054
L012,L012-S02,Check whether my answer is correct,1,1,1,1,3.694468269863257
L012,L012-S02,Explain why this step works,1,0,1,1,14.434048671079143
L012,L012-S02,Explain why this step works,0,0,0,0,15.66425174229656
L012,L012-S02,Check whether my answer is correct,0,1,1,0,65.92995847979088
L012,L012-S02,Give me an outline,0,0,0,1,31.212445601467312
L012,L012-S02,Help me reflect on my reasoning,0,0,0,0,10.553124774088946
L012,L012-S03,Write a possible answer,1,0,1,1,18.112786528496358
L012,L012-S03,Check whether my answer is correct,0,1,0,0,5.602594533629384
L012,L012-S03,Check whether my answer is correct,1,0,0,0,17.043219018803253
L012,L012-S03,Write a possible answer,0,1,1,0,19.088406243318673
L013,L013-S00,Give me an outline,1,1,0,1,19.636637349385012
L013,L013-S00,Give me an outline,1,0,1,0,11.675952708914838
L013,L013-S00,Explain why this step works,0,0,0,1,37.161065929619944
L013,L013-S01,Give me an outline,1,0,0,1,54.24870904765602
L013,L013-S01,Explain why this step works,1,0,1,0,15.221526299862113
L013,L013-S01,Give me an outline,0,1,0,0,26.621080292417805
L013,L013-S01,Help me reflect on my reasoning,0,1,0,1,55.70019101607315
L013,L013-S01,Write a possible answer,0,0,1,0,102.4411191416848
L013,L013-S01,Give me an outline,0,0,1,0,18.458099812769042
L013,L013-S01,Write a possible answer,0,0,0,0,36.37219488873823
L013,L013-S02,Help me reflect on my reasoning,1,0,0,0,72.84036281594044
L013,L013-S02,Give me an outline,1,1,0,1,4.246369770340559
L013,L013-S02,What source supports this?,1,1,0,0,50.25072414813005
L013,L013-S02,Check whether my answer is correct,0,1,1,1,35.20367609579707
L013,L013-S02,Write a possible answer,1,1,0,1,65.46491033055888
L013,L013-S02,Write a possible answer,0,1,0,1,47.56648176357826
L013,L013-S03,What source supports this?,1,0,1,0,31.054350600177713
L013,L013-S03,Give me an outline,0,0,1,0,10.960865809611917
L013,L013-S03,Write a possible answer,0,1,0,0,43.038971194549696
L013,L013-S03,Help me reflect on my reasoning,0,0,1,0,14.216268531371032
L014,L014-S00,Give me an outline,0,0,1,0,81.58640917901717
L014,L014-S00,Write a possible answer,0,0,0,1,69.11521649253666
L014,L014-S00,Help me reflect on my reasoning,1,0,0,0,22.692302308572508
L014,L014-S00,Write a possible answer,0,1,0,0,45.924722351273424
L014,L014-S00,Explain why this step works,0,1,1,0,41.69954467099898
L014,L014-S00,Write a possible answer,1,0,1,0,101.02612632144901
L014,L014-S01,Write a possible answer,1,0,0,0,9.645539602311029
L014,L014-S01,Check whether my answer is correct,0,0,1,0,18.38387288943843
L014,L014-S01,Check whether my answer is correct,0,0,0,1,15.207964332460971
L014,L014-S01,What source supports this?,1,1,1,0,43.55090238874776
L014,L014-S01,Write a possible answer,0,0,1,1,73.35723105706943
L014,L014-S02,Write a possible answer,1,0,0,0,20.232998081200407
L014,L014-S02,Explain why this step works,0,0,1,1,61.540176706607426
L014,L014-S02,Check whether my answer is correct,0,1,0,0,17.114427129943266
L014,L014-S02,Help me reflect on my reasoning,0,0,0,0,46.82277557000879
L014,L014-S02,Write a possible answer,1,1,1,1,37.4525377219392
L014,L014-S03,Check whether my answer is correct,0,1,1,1,16.46709971288533
L014,L014-S03,Explain why this step works,0,1,0,0,21.999439446784514
L014,L014-S03,Give me an outline,1,1,0,1,54.52196383471607
L014,L014-S03,Give me an outline,1,1,0,0,39.730685921791554
L015,L015-S00,Explain why this step works,1,0,1,0,8.28247014131969
L015,L015-S00,Check whether my answer is correct,0,1,1,0,2.5174991920633247
L015,L015-S00,Give me an outline,0,0,1,0,18.268384150347625
L015,L015-S01,Help me reflect on my reasoning,0,1,0,0,93.62439598236713
L015,L015-S01,What source supports this?,0,0,1,0,103.00688951450442
L015,L015-S01,Write a possible answer,1,0,0,1,83.41817580429527
L015,L015-S01,Explain why this step works,0,0,1,0,6.468646422049735
L015,L015-S02,Explain why this step works,1,1,0,0,10.223392399479698
L015,L015-S02,Help me reflect on my reasoning,0,0,0,0,96.6118604923247
L015,L015-S02,What source supports this?,1,1,1,1,48.77869042153656
L015,L015-S03,Help me reflect on my reasoning,0,1,1,0,30.60105436307581
L015,L015-S03,Write a possible answer,0,1,1,0,89.65581185499971
L015,L015-S03,What source supports this?,1,0,1,0,15.732047773794996
L015,L015-S03,Write a possible answer,0,0,0,0,18.072266278163927
L015,L015-S03,Check whether my answer is correct,0,0,0,1,17.483777198187447
L015,L015-S03,Help me reflect on my reasoning,1,1,1,0,24.38110746790635
L016,L016-S00,Check whether my answer is correct,1,1,0,0,42.98692129720174
L016,L016-S00,Explain why this step works,1,0,0,1,70.90514468622675
L016,L016-S00,What source supports this?,0,0,0,0,70.43589513311173
L016,L016-S01,What source supports this?,1,0,1,1,47.080897237252366
L016,L016-S01,Write a possible answer,1,1,1,0,27.158437337931712
L016,L016-S01,Give me an outline,1,1,1,0,8.841305890984659
L016,L016-S01,What source supports this?,0,1,1,1,21.911970429995478
L016,L016-S01,Give me an outline,1,1,0,0,37.68729981898202
L016,L016-S02,Help me reflect on my reasoning,0,1,1,1,54.80238595583062
L016,L016-S02,Help me reflect on my reasoning,0,1,0,0,25.89315657494715
L016,L016-S02,Give me an outline,1,0,0,0,9.501250733657495
L016,L016-S02,Help me reflect on my reasoning,1,0,1,0,27.244254699790204
L016,L016-S02,What source supports this?,1,0,1,0,42.430306568709206
L016,L016-S02,Check whether my answer is correct,1,1,1,0,4.3074773485784155
L016,L016-S02,Write a possible answer,0,0,0,0,30.77087000278691
L016,L016-S03,Write a possible answer,0,0,1,1,30.50094384609023
L016,L016-S03,What source supports this?,1,1,1,0,11.766145776648317
L016,L016-S03,Give me an outline,1,1,1,0,18.866398376133336
L016,L016-S03,Help me reflect on my reasoning,0,1,0,1,52.126596362424074
L017,L017-S00,Explain why this step works,0,1,1,1,15.348617495592773
L017,L017-S00,Check whether my answer is correct,1,1,1,0,31.73812360292719
L017,L017-S00,Help me reflect on my reasoning,0,1,1,0,44.03048362387977
L017,L017-S00,Write a possible answer,0,0,1,1,29.545453293143044
L017,L017-S00,Help me reflect on my reasoning,0,0,0,0,24.830329370122325
L017,L017-S00,Give me an outline,0,1,0,1,38.17269656095226
L017,L017-S00,Give me an outline,0,0,0,0,69.58317604611821
L017,L017-S01,What source supports this?,0,1,1,1,34.48820444192511
L017,L017-S01,What source supports this?,0,1,1,0,5.213750861674807
L017,L017-S01,Help me reflect on my reasoning,0,1,1,1,21.821826291184934
L017,L017-S01,What source supports this?,1,0,1,0,27.818098520435615
L017,L017-S02,Explain why this step works,1,0,0,0,17.837294972171513
L017,L017-S02,What source supports this?,0,0,1,0,24.70378595784668
L017,L017-S02,Check whether my answer is correct,1,0,1,0,10.303815400502007
L017,L017-S02,Check whether my answer is correct,0,0,0,1,9.005243669054629
L017,L017-S02,Explain why this step works,0,1,1,0,16.39905453768863
L017,L017-S02,Write a possible answer,1,1,0,0,50.24540660070965
L017,L017-S02,What source supports this?,1,1,0,0,9.71410535027343
L017,L017-S03,Check whether my answer is correct,1,0,1,1,28.153619208909735
L017,L017-S03,Check whether my answer is correct,1,0,1,0,26.89554944680183
L017,L017-S03,Help me reflect on my reasoning,1,0,0,0,24.844123568636217
L017,L017-S03,Write a possible answer,1,0,1,0,15.310917273896019
L018,L018-S00,What source supports this?,0,0,0,0,50.0365323941257
L018,L018-S00,Write a possible answer,0,1,0,0,27.6383309925813
L018,L018-S00,Check whether my answer is correct,1,0,1,1,42.5803186572839
L018,L018-S00,Write a possible answer,1,0,1,0,27.73286556486849
L018,L018-S00,Explain why this step works,0,1,1,0,10.088399021644438
L018,L018-S00,Help me reflect on my reasoning,0,0,0,0,71.9292046167381
L018,L018-S00,Write a possible answer,0,0,1,0,41.59160039046382
L018,L018-S01,Give me an outline,0,0,0,1,33.7116854690043
L018,L018-S01,Write a possible answer,0,1,1,0,103.84740442552635
L018,L018-S01,What source supports this?,0,0,1,0,21.03597534776745
L018,L018-S01,Write a possible answer,0,1,0,0,49.89819593337937
L018,L018-S02,Help me reflect on my reasoning,0,1,1,0,21.708025684588385
L018,L018-S02,Check whether my answer is correct,1,0,0,0,54.1918815923714
L018,L018-S02,What source supports this?,1,0,0,0,37.532329043780656
L018,L018-S02,Give me an outline,0,1,1,1,36.59560620622698
L018,L018-S03,What source supports this?,0,0,0,0,28.957102751614677
L018,L018-S03,What source supports this?,1,0,1,0,48.90092129901784
L018,L018-S03,Write a possible answer,0,0,0,0,24.36102486277819
L019,L019-S00,What source supports this?,1,1,0,1,48.26770957451347
L019,L019-S00,Give me an outline,0,1,0,0,25.715217905586023
L019,L019-S00,Write a possible answer,1,1,1,0,35.399139698230144
L019,L019-S00,What source supports this?,1,1,1,1,39.537309115724646
L019,L019-S01,Check whether my answer is correct,0,1,0,0,18.04652826713506
L019,L019-S01,Check whether my answer is correct,0,1,0,1,71.0448734636791
L019,L019-S01,Check whether my answer is correct,1,1,0,1,29.805889093020408
L019,L019-S01,What source supports this?,1,1,0,1,60.35040392709576
L019,L019-S01,Give me an outline,1,0,0,1,24.45089120821744
L019,L019-S02,Give me an outline,0,1,0,1,94.70254595994223
L019,L019-S02,Write a possible answer,1,1,0,1,10.318885513082515
L019,L019-S02,Give me an outline,1,0,1,0,7.885992033056608
L019,L019-S02,Explain why this step works,1,1,0,1,11.575031848412173
L019,L019-S03,Check whether my answer is correct,1,1,0,0,68.76551225896961
L019,L019-S03,What source supports this?,1,1,1,0,11.291661487227557
L019,L019-S03,Help me reflect on my reasoning,0,0,1,1,44.31074954502207
L019,L019-S03,What source supports this?,0,0,0,1,11.871924023977273
L020,L020-S00,Give me an outline,1,0,1,1,42.26677131122388
L020,L020-S00,Write a possible answer,0,0,1,0,9.67513169746824
L020,L020-S00,Write a possible answer,0,1,1,1,19.358643829087782
L020,L020-S00,Give me an outline,0,1,0,0,55.46581945918311
L020,L020-S00,Help me reflect on my reasoning,0,0,0,0,60.65491766595852
L020,L020-S00,Explain why this step works,1,0,0,1,48.96061403222358
L020,L020-S00,What source supports this?,0,0,1,0,54.69628078672562
L020,L020-S01,Check whether my answer is correct,1,1,1,0,28.723922244995787
L020,L020-S01,Give me an outline,1,1,1,0,66.38661717549553
L020,L020-S01,What source supports this?,1,1,1,0,28.58433660357432
L020,L020-S01,Check whether my answer is correct,1,1,0,0,22.914392205919295
L020,L020-S02,Give me an outline,0,0,0,0,14.619688756967543
L020,L020-S02,Check whether my answer is correct,0,0,0,1,11.890824153433572
L020,L020-S02,Write a possible answer,0,0,1,1,36.931536792887954
L020,L020-S02,Check whether my answer is correct,1,0,1,1,24.18267886852783
L020,L020-S02,Check whether my answer is correct,0,1,1,0,22.235827307057306
